"month","year","treatment","species","wgt","period","energy","decade"
4,1978,"control","DS",76,10,146.461156997571,1970
4,1978,"control","DS",141,10,232.823385949575,1970
4,1978,"control","DM",50,10,106.989157998308,1970
4,1978,"control","DS",148,10,241.439627806472,1970
4,1978,"control","DS",142,10,234.060713554663,1970
4,1978,"control","DS",131,10,220.325994010241,1970
4,1978,"control","DM",44,10,97.2079476020466,1970
4,1978,"control","DM",46,10,100.503373641219,1970
4,1978,"control","DS",132,10,221.586202550956,1970
4,1978,"control","DS",75,10,145.013426297702,1970
4,1978,"control","DS",117,10,202.41918070181,1970
4,1978,"control","DM",45,10,98.8602380143538,1970
4,1978,"control","DS",142,10,234.060713554663,1970
4,1978,"control","DM",49,10,105.380274719703,1970
4,1978,"exclosure","DM",47,10,102.137602618615,1970
4,1978,"removal","DM",41,10,92.1934694843704,1970
4,1978,"control","DM",42,10,93.8748452722046,1970
4,1978,"control","DM",42,10,93.8748452722046,1970
4,1978,"control","DO",55,10,114.91700096632,1970
4,1978,"control","DS",142,10,234.060713554663,1970
4,1978,"control","DS",142,10,234.060713554663,1970
4,1978,"control","DM",43,10,95.5462415403459,1970
4,1978,"control","DS",84,10,157.878041743788,1970
4,1978,"control","DM",42,10,93.8748452722046,1970
4,1978,"control","DM",40,10,90.5018089336904,1970
4,1978,"control","DM",48,10,103.763161232581,1970
4,1978,"control","DM",51,10,108.590016337657,1970
5,1978,"control","DM",42,11,93.8748452722046,1970
5,1978,"control","DS",160,11,255.977771226647,1970
5,1978,"control","DS",100,11,179.933598863581,1970
5,1978,"control","DM",21,11,55.8183169587426,1970
5,1978,"control","DO",37,11,85.3617990345562,1970
5,1978,"control","DS",131,11,220.325994010241,1970
5,1978,"control","DS",54,11,113.346362215707,1970
5,1978,"control","DM",39,11,88.7995411482622,1970
5,1978,"control","DS",148,11,241.439627806472,1970
5,1978,"control","DM",41,11,92.1934694843704,1970
5,1978,"control","DM",49,11,105.380274719703,1970
5,1978,"control","DM",44,11,97.2079476020466,1970
5,1978,"control","PP",13,11,38.9555894891111,1970
5,1978,"control","DS",114,11,198.513892371031,1970
5,1978,"control","DS",126,11,213.988372268528,1970
5,1978,"control","DS",120,11,206.29951213152,1970
5,1978,"control","DS",68,11,134.739195805067,1970
5,1978,"control","DS",83,11,156.466308239007,1970
5,1978,"control","DM",40,11,90.5018089336904,1970
5,1978,"control","DS",137,11,227.851919598639,1970
5,1978,"control","DS",57,11,118.037066617257,1970
5,1978,"control","DM",37,11,85.3617990345562,1970
5,1978,"control","DS",83,11,156.466308239007,1970
5,1978,"control","DS",74,11,143.560861615533,1970
5,1978,"control","DM",41,11,92.1934694843704,1970
5,1978,"control","DS",108,11,190.625099338474,1970
5,1978,"control","DO",54,11,113.346362215707,1970
5,1978,"control","PF",7,11,24.4870121320489,1970
5,1978,"control","DS",125,11,212.713364128719,1970
5,1978,"control","DS",129,11,217.798331856724,1970
5,1978,"control","DM",35,11,81.8772598057385,1970
5,1978,"control","DS",64,11,128.750002718447,1970
5,1978,"control","DS",90,11,166.262439514798,1970
5,1978,"control","DS",118,11,203.715358184933,1970
5,1978,"control","DM",42,11,93.8748452722046,1970
5,1978,"control","DM",29,11,71.1067394489141,1970
5,1978,"control","PP",15,11,43.3691300549964,1970
5,1978,"control","DM",29,11,71.1067394489141,1970
5,1978,"control","DS",97,11,175.869717951792,1970
5,1978,"control","DM",21,11,55.8183169587426,1970
5,1978,"control","DS",121,11,207.587545628344,1970
5,1978,"control","DM",41,11,92.1934694843704,1970
5,1978,"control","DS",83,11,156.466308239007,1970
5,1978,"control","DS",121,11,207.587545628344,1970
5,1978,"control","DM",44,11,97.2079476020466,1970
5,1978,"exclosure","DM",41,11,92.1934694843704,1970
5,1978,"removal","DM",48,11,103.763161232581,1970
5,1978,"control","PM",22,11,57.8001914615828,1970
5,1978,"control","DM",23,11,59.7596635079572,1970
5,1978,"control","DS",131,11,220.325994010241,1970
5,1978,"control","DM",41,11,92.1934694843704,1970
5,1978,"control","DS",115,11,199.818477997998,1970
5,1978,"control","DM",38,11,87.0863249865208,1970
5,1978,"control","DM",21,11,55.8183169587426,1970
5,1978,"control","DO",18,11,49.7240672582641,1970
5,1978,"control","DM",41,11,92.1934694843704,1970
5,1978,"control","DM",41,11,92.1934694843704,1970
5,1978,"control","DS",102,11,182.625910941356,1970
5,1978,"control","DS",138,11,229.098149462921,1970
5,1978,"control","DM",43,11,95.5462415403459,1970
5,1978,"control","DM",31,11,74.7538451814357,1970
5,1978,"control","DS",130,11,219.06337816878,1970
5,1978,"control","DM",40,11,90.5018089336904,1970
5,1978,"control","DS",116,11,201.120230609569,1970
6,1978,"control","DS",160,12,255.977771226647,1970
6,1978,"control","DM",40,12,90.5018089336904,1970
6,1978,"control","DS",100,12,179.933598863581,1970
6,1978,"control","DO",38,12,87.0863249865208,1970
6,1978,"control","DS",134,12,224.099488446291,1970
6,1978,"control","DS",59,12,121.129876694425,1970
6,1978,"control","DS",58,12,119.586804605943,1970
6,1978,"control","DS",149,12,242.66210896082,1970
6,1978,"control","PF",8,12,27.0663539374619,1970
6,1978,"control","DM",43,12,95.5462415403459,1970
6,1978,"control","DS",122,12,208.872920612232,1970
6,1978,"control","DS",119,12,205.00879239941,1970
6,1978,"control","DS",81,12,153.63,1970
6,1978,"control","DS",93,12,170.401917625588,1970
6,1978,"control","DS",71,12,139.17333295091,1970
6,1978,"control","DS",134,12,224.099488446291,1970
6,1978,"control","DM",50,12,106.989157998308,1970
6,1978,"control","DM",24,12,61.6979448064802,1970
6,1978,"control","DS",82,12,155.05031599842,1970
6,1978,"control","DM",38,12,87.0863249865208,1970
6,1978,"control","DS",32,12,76.5552096446982,1970
6,1978,"control","DS",73,12,142.103381152915,1970
6,1978,"control","DM",41,12,92.1934694843704,1970
6,1978,"control","DS",110,12,193.266588328572,1970
6,1978,"control","DO",55,12,114.91700096632,1970
6,1978,"control","DS",125,12,212.713364128719,1970
6,1978,"control","DO",55,12,114.91700096632,1970
6,1978,"control","PF",8,12,27.0663539374619,1970
6,1978,"control","DS",124,12,211.43580339025,1970
6,1978,"control","DM",40,12,90.5018089336904,1970
6,1978,"control","DS",70,12,137.700588522885,1970
6,1978,"control","DM",36,12,83.6255798186177,1970
6,1978,"control","DS",71,12,139.17333295091,1970
6,1978,"control","DS",94,12,171.774287809203,1970
6,1978,"control","DS",100,12,179.933598863581,1970
6,1978,"control","DS",119,12,205.00879239941,1970
6,1978,"control","DM",43,12,95.5462415403459,1970
6,1978,"control","DS",98,12,177.227790500499,1970
